City,Datetime,PM2.5,PM10,NO2,CO,SO2,O3,AQI,risk_level,Date,Year,Month,DayOfWeek,risk_label
Delhi,01-01-2015,153.3,241.7,33.0,1.87,64.5,83.6,204.5,High,2015-01-01,2015,1,3,2
Mumbai,01-01-2015,70.5,312.7,42.0,7.22,83.8,108.0,60.9,Low,2015-01-01,2015,1,3,0
Chennai,01-01-2015,174.1,275.4,68.8,8.56,60.8,43.9,486.5,High,2015-01-01,2015,1,3,2
Kolkata,01-01-2015,477.2,543.9,76.4,2.41,42.1,171.1,174.4,High,2015-01-01,2015,1,3,2
Bangalore,01-01-2015,171.6,117.7,12.4,1.26,79.7,164.3,489.7,Low,2015-01-01,2015,1,3,0
Delhi,02-01-2015,344.2,173.2,128.4,6.28,7.5,9.4,238.5,Low,2015-01-02,2015,1,4,0
Mumbai,02-01-2015,59.2,335.7,143.8,5.81,6.4,145.5,254.9,Low,2015-01-02,2015,1,4,0
Chennai,02-01-2015,418.9,573.8,17.5,4.49,9.5,198.7,171.7,Low,2015-01-02,2015,1,4,0
Kolkata,02-01-2015,329.8,599.3,34.0,3.63,63.4,111.2,139.8,High,2015-01-02,2015,1,4,2
Bangalore,02-01-2015,22.5,317.5,62.4,0.0,59.7,49.8,243.3,Moderate,2015-01-02,2015,1,4,1
Delhi,03-01-2015,473.9,20.1,102.7,0.04,29.8,42.0,77.6,Low,2015-01-03,2015,1,5,0
Mumbai,03-01-2015,191.0,200.5,141.3,8.54,89.0,129.8,37.9,High,2015-01-03,2015,1,5,2
Chennai,03-01-2015,86.6,531.8,92.8,1.12,9.9,45.5,394.8,Moderate,2015-01-03,2015,1,5,1
Kolkata,03-01-2015,393.0,422.5,112.1,5.72,3.7,60.8,491.8,High,2015-01-03,2015,1,5,2
Bangalore,03-01-2015,269.3,69.9,107.3,7.44,12.8,119.4,148.5,High,2015-01-03,2015,1,5,2
Delhi,04-01-2015,32.4,414.8,25.6,2.47,50.4,80.2,85.4,Low,2015-01-04,2015,1,6,0
Mumbai,04-01-2015,177.3,30.8,149.3,8.63,30.7,75.7,78.5,High,2015-01-04,2015,1,6,2
Chennai,04-01-2015,417.0,361.9,145.1,6.22,11.4,14.4,286.1,Low,2015-01-04,2015,1,6,0
Kolkata,04-01-2015,392.0,70.4,127.9,5.02,51.4,105.6,119.5,High,2015-01-04,2015,1,6,2
Bangalore,04-01-2015,56.1,295.7,146.1,6.47,59.1,109.1,423.3,Low,2015-01-04,2015,1,6,0
Delhi,05-01-2015,312.8,155.8,106.8,4.04,2.0,101.3,396.8,High,2015-01-05,2015,1,0,2
Mumbai,05-01-2015,335.4,582.7,37.2,6.83,91.6,30.9,30.7,High,2015-01-05,2015,1,0,2
Chennai,05-01-2015,123.3,126.0,140.7,9.55,68.7,166.5,108.8,Low,2015-01-05,2015,1,0,0
Kolkata,05-01-2015,298.2,515.0,101.8,4.17,19.4,197.7,473.1,Moderate,2015-01-05,2015,1,0,1
Bangalore,05-01-2015,263.8,321.1,40.5,7.3,56.2,14.2,119.5,Low,2015-01-05,2015,1,0,0
Delhi,06-01-2015,390.7,91.4,131.8,1.17,84.1,177.5,360.3,Moderate,2015-01-06,2015,1,1,1
Mumbai,06-01-2015,162.6,202.8,49.4,9.6,23.7,60.1,496.9,Low,2015-01-06,2015,1,1,0
Chennai,06-01-2015,179.9,275.3,13.9,7.44,98.0,148.0,387.9,Low,2015-01-06,2015,1,1,0
Kolkata,06-01-2015,191.5,560.1,4.5,8.89,23.2,35.5,15.0,High,2015-01-06,2015,1,1,2
Bangalore,06-01-2015,432.2,500.7,80.8,0.34,90.4,113.1,120.7,High,2015-01-06,2015,1,1,2
Delhi,07-01-2015,282.3,420.9,134.7,1.15,15.7,85.2,370.3,Moderate,2015-01-07,2015,1,2,1
Mumbai,07-01-2015,485.1,549.4,40.5,7.54,10.6,52.5,337.9,Low,2015-01-07,2015,1,2,0
Chennai,07-01-2015,325.4,129.0,57.5,3.27,44.9,173.7,0.7,High,2015-01-07,2015,1,2,2
Kolkata,07-01-2015,121.4,120.8,10.4,4.96,28.8,51.1,493.6,High,2015-01-07,2015,1,2,2
Bangalore,07-01-2015,122.9,583.2,146.3,2.65,71.2,78.8,421.8,High,2015-01-07,2015,1,2,2
Delhi,08-01-2015,315.2,354.9,45.6,6.81,84.6,28.8,230.7,High,2015-01-08,2015,1,3,2
Mumbai,08-01-2015,97.0,302.5,148.8,1.8,32.9,141.4,106.1,High,2015-01-08,2015,1,3,2
Chennai,08-01-2015,421.0,328.6,45.5,6.97,80.4,145.8,478.4,High,2015-01-08,2015,1,3,2
Kolkata,08-01-2015,308.5,199.9,144.2,0.34,40.8,197.1,82.2,High,2015-01-08,2015,1,3,2
Bangalore,08-01-2015,409.8,237.9,41.6,4.41,6.1,66.2,487.3,High,2015-01-08,2015,1,3,2
Delhi,09-01-2015,226.8,103.0,100.6,9.29,56.6,118.8,53.6,High,2015-01-09,2015,1,4,2
Mumbai,09-01-2015,232.9,102.6,113.4,9.66,8.7,82.5,278.9,High,2015-01-09,2015,1,4,2
Chennai,09-01-2015,74.0,295.4,105.5,2.18,95.6,51.9,91.2,High,2015-01-09,2015,1,4,2
Kolkata,09-01-2015,172.4,142.6,71.3,1.27,11.2,86.7,5.9,Low,2015-01-09,2015,1,4,0
Bangalore,09-01-2015,77.8,270.7,66.6,2.06,73.2,159.6,8.0,Low,2015-01-09,2015,1,4,0
Delhi,10-01-2015,316.8,209.1,100.0,3.37,11.2,4.4,29.9,High,2015-01-10,2015,1,5,2
Mumbai,10-01-2015,308.7,415.3,97.4,4.86,29.6,87.9,15.9,High,2015-01-10,2015,1,5,2
Chennai,10-01-2015,308.1,73.0,134.3,3.5,48.5,113.0,98.5,Low,2015-01-10,2015,1,5,0
Kolkata,10-01-2015,415.5,586.8,138.5,4.33,59.6,59.2,446.7,High,2015-01-10,2015,1,5,2
Bangalore,10-01-2015,449.3,460.8,2.8,8.78,26.9,76.1,275.2,High,2015-01-10,2015,1,5,2
Delhi,11-01-2015,439.9,495.3,93.8,9.87,79.3,119.7,450.2,High,2015-01-11,2015,1,6,2
Mumbai,11-01-2015,144.3,120.8,58.2,5.15,95.9,63.6,435.5,High,2015-01-11,2015,1,6,2
Chennai,11-01-2015,279.8,525.6,1.1,2.65,62.1,171.0,413.3,Low,2015-01-11,2015,1,6,0
Kolkata,11-01-2015,340.3,457.5,148.7,6.18,60.6,59.5,168.6,High,2015-01-11,2015,1,6,2
Bangalore,11-01-2015,470.4,237.2,49.5,8.68,92.9,158.0,418.5,High,2015-01-11,2015,1,6,2
Delhi,12-01-2015,59.0,239.1,118.4,0.1,90.7,191.8,467.8,High,2015-01-12,2015,1,0,2
Mumbai,12-01-2015,126.2,470.0,71.4,9.13,71.7,59.2,457.6,Low,2015-01-12,2015,1,0,0
Chennai,12-01-2015,391.2,24.4,133.3,9.57,6.3,176.9,212.3,Low,2015-01-12,2015,1,0,0
Kolkata,12-01-2015,44.1,533.8,34.1,7.51,50.7,19.7,475.9,Low,2015-01-12,2015,1,0,0
Bangalore,12-01-2015,138.2,431.8,46.9,6.57,70.2,128.9,69.7,High,2015-01-12,2015,1,0,2
Delhi,13-01-2015,15.9,408.7,33.6,9.49,12.3,25.7,265.3,Moderate,2015-01-13,2015,1,1,1
Mumbai,13-01-2015,11.4,261.5,70.2,7.79,21.0,104.0,387.8,Low,2015-01-13,2015,1,1,0
Chennai,13-01-2015,151.9,242.5,1.5,8.16,50.4,104.8,274.9,Low,2015-01-13,2015,1,1,0
Kolkata,13-01-2015,155.0,353.5,48.9,9.64,11.2,86.6,168.9,Low,2015-01-13,2015,1,1,0
Bangalore,13-01-2015,146.7,59.5,32.7,1.0,50.5,101.1,100.7,Low,2015-01-13,2015,1,1,0
Delhi,14-01-2015,33.1,568.6,145.7,2.65,13.5,89.5,361.0,Moderate,2015-01-14,2015,1,2,1
Mumbai,14-01-2015,260.6,450.2,1.6,6.09,14.5,46.0,72.4,Moderate,2015-01-14,2015,1,2,1
